445049 	6280 
660740 	7896 
588104 	7362 
679440 	8132 
392029 	5948 
343936 	5618 
513366 	6780 
437226 	6200 
330274 	5622 
309655 	5670 
629590 	7446 
303173 	5914 
413740 	6120 
629585 	7776 
323713 	5668 
591080 	7244 
443088 	6418 
338225 	5378 
630452 	7838 
550966 	7026 
575806 	7366 
561971 	7240 
391074 	5870 
691200 	8390 
658736 	7936 
469907 	6640 
327316 	5528 
513354 	6814 
372655 	6010 
643844 	7784 
611837 	7352 
420796 	6324 
397776 	6140 
689639 	8022 
433219 	6098 
387216 	5830 
417621 	6232 
429263 	6198 
356569 	5586 
419479 	6310 
336228 	5590 
622817 	7888 
590332 	7550 
653405 	7962 
494079 	6478 
450494 	6316 
596639 	7086 
497342 	6598 
660264 	8026 
498099 	6494 
385948 	6104 
413796 	6216 
599856 	7604 
490863 	6914 
643755 	7718 
500756 	6706 
649499 	7908 
691870 	8246 
323962 	5426 
589853 	7386 
453214 	6288 
498575 	6830 
658138 	8160 
644873 	7944 
433357 	6262 
615990 	7470 
614598 	7448 
378999 	5864 
610531 	7422 
450058 	6486 
569877 	7550 
421357 	6054 
647317 	7774 
632039 	7630 
436292 	6214 
321512 	5634 
504426 	6558 
627121 	7666 
596543 	7374 
301350 	5616 
364513 	5936 
539481 	7040 
463406 	6450 
429075 	6358 
671051 	8028 
571851 	7198 
564056 	6982 
315628 	5406 
372577 	5816 
445580 	6374 
515824 	6964 
532346 	6984 
589165 	7304 
582854 	7362 
444266 	6370 
591267 	7434 
433330 	6116 
592122 	7630 
440763 	6106 
596593 	7410 
633113 	7750 
694036 	8472 
